id,x1B%,x2B%,x3B%,xHR%,xK%,xBB%,xOUT%
592444,89808,95867,96512,3488,96512,77503,69695
621514,94424,97680,97966,2034,97966,81756,74326
592206,88181,95186,95925,4075,95925,70607,61816
592348,93024,97630,98084,1916,98084,77000,70463
641525,90231,95562,95818,4182,95818,77691,71300
605612,96046,99075,99456,544,99456,78026,75929
543308,89402,95257,95673,4327,95673,75613,68560
608475,91493,97510,98080,1920,98080,73428,68795
519455,97901,99514,99584,416,99584,89834,86932
,,,,,,,
621028,93773,98610,99138,862,99138,72377,68291
572816,86963,94776,95899,4101,95899,69163,63475
516782,89676,95506,96229,3771,96229,69966,66240
605137,87300,94646,95498,4502,95498,70457,58780
592567,89372,95394,96273,3727,96273,71944,63894
570256,87423,93789,94580,5420,94580,74123,64417
553869,91202,97172,97746,2254,97746,69253,64957
624428,90381,96438,97132,2868,97132,71399,63846
592866,97901,99514,99584,416,99584,89834,86932
